RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
2117,15671609,Ibeabuchi,1051.5,france,M,44.0,7,0.0,2,Yes,No,23425.78,N0,No,3,SILVR,482
2118,15652540,Garnsey,683.0,france,M,31.0,2,0.0,2,No,Yes,77326.78,N0,No,2,diamond,791
2119,15774857,Synnot,460.0,france,FEMALE,27.0,7,0.0,2,Yes,No,156150.08,Yess,Yes,3,Platinum,299
2120,15791836,Wildman,690.0,france,M,,5,0.0,2,Yes,No,108577.97,N0,No,3,Platinum,
2121,15651554,Anenechukwu,618.0,GERMANY,FEMALE,54.0,4,355.0,1,Yes,Yes,133573.29,Yess,Yes,1,SILVR,534
2122,15583576,Tai,671.0,france,M,30.0,2,0.0,1,No,Yes,102057.86,N0,No,3,Platinum,743
2123,15732740,Plant,765.0, spain ,FEMALE,32.0,9,178095.55,1,No,No,47247.56,N0,No,3, Gold ,656
2124,15723320,Azubuike,651.0,GERMANY,FEMALE,25.0,2,109175.14,2,Yes,No,114566.47,N0,No,1,SILVR,652
2125,15603851,Galkin,704.0,france,M,32.0,7,127785.17,4,No,No,184464.7,Yess,Yes,1,Platinum,981
2126,15777923,Johnston,544.0,france,FEMALE,45.0,6,0.0,2,No,Yes,151401.33,N0,No,2,diamond,686
2127,15735719,Babbage,790.0,france,FEMALE,40.0,9,0.0,2,Yes,Yes,70607.1,N0,No,4,SILVR,581
2128,15703482,Walker,710.0,GERMANY,M,34.0,9,134260.36,2,Yes,No,147074.67,N0,No,5, Gold ,257
2129,15605835,Rice,743.0,france,M,37.0,8,69143.91,2,No,Yes,105780.18,N0,No,3,Platinum,785
2130,15664881,Norton,702.0,france,M,34.0,4,100054.77,1,Yes,No,109496.45,N0,No,3,Platinum,907
2131,15757568,Bogolyubov,704.0,france,FEMALE,45.0,6,0.0,1,Yes,Yes,137739.45,N0,No,5, Gold ,701
2132,15792660,Gibbons,614.0,france,M,38.0,2,101.0,1,Yes,No,105140.92,N0,No,3,diamond,762
2133,15599722,Chia,609.0, spain ,FEMALE,43.0,6,86053.52,2,Yes,Yes,113276.46,Yess,Yes,5,Platinum,529
2134,15726354,Smith,688.0,france,FEMALE,32.0,6,123157.95,1,Yes,No,172531.23,N0,No,3, Gold ,499
2135,15610355,Hunter,713.0,france,M,44.0,1,63438.91,1,Yes,No,64375.4,N0,No,5, Gold ,658
2136,15704284,Ekechukwu,736.0,GERMANY,M,57.0,9,95295.39,1,Yes,No,28434.44,Yess,Yes,1,SILVR,888
2137,15621893,Bellucci,727.0,france,M,18.0,4,133550.67,1,Yes,Yes,46941.41,N0,No,4,Platinum,864
2138,15588219,Ford,543.0,france,FEMALE,38.0,1,106871.81,2,Yes,No,29333.01,N0,No,3,SILVR,527
2139,15688619,Scott,718.0, spain ,M,45.0,3,105266.32,2,Yes,Yes,193724.51,N0,No,5,SILVR,372
2140,15765518,Gregson,643.0,france,FEMALE,51.0,2,105229.53,1,Yes,No,34967.75,Yess,Yes,2,SILVR,848
2141,15616931,Moore,653.0,france,M,41.0,8,102768.42,1,Yes,No,55663.85,N0,No,4,diamond,285
2142,15758372,Wallace,674.0,france,M,18.0,7,0.0,2,Yes,Yes,55753.12,Yess,Yes,5,diamond,603
2143,15782591,Cook,38.0,france,M,262.0,6,112689.95,1,Yes,No,176962.31,N0,No,3,SILVR,828
2144,15612109,Speth,819.0,france,M,38.0,9,122334.26,2,Yes,Yes,181507.44,N0,No,1,SILVR,586
2145,15613712,Boag,634.0, spain ,M,34.0,1,19.0,2,Yes,No,61995.57,N0,No,5,SILVR,522
2146,15639322,Grave,633.0, spain ,M,33.0,4,137847.41,2,Yes,No,98349.13,N0,No,1,diamond,836
2147,15594349,Streeten,850.0,france,M,49.0,5,122486.47,1,No,Yes,59748.19,N0,No,3,diamond,852
2148,15574167,Fox,665.0,france,M,33.0,2,101286.11,1,Yes,Yes,159840.51,N0,No,5,Platinum,770
2149,15811842,Artemyeva,630.0, spain ,M,26.0,7,0.0,2,Yes,Yes,6656.64,N0,No,2,diamond,776
2150,15648794,Giordano,836.0, spain ,M,57.0,4,101247.06,1,Yes,No,37141.62,Yess,Yes,4, Gold ,611
2151,15771211,Perkins,668.0,france,M,38.0,10,86977.96,1,No,Yes,37094.75,N0,No,1,diamond,628
2152,15588614,Walton,262.0,france,M,57.0,7,0.0,1,Yes,No,159475.08,Yess,Yes,2,diamond,647
2153,15630698,Hay,745.0,france,FEMALE,38.0,9,110123.59,1,No,Yes,51548.14,Yess,Yes,5, Gold ,765
2154,15694200,Gardner,693.0,france,M,36.0,8,178111.82,1,No,No,58719.63,Yess,Yes,2,SILVR,447
2155,15721426,Milne,606.0,GERMANY,M,65.0,10,126306.64,3,No,No,7861.68,Yess,Yes,5,diamond,591
2156,15725997,She,660.0,france,FEMALE,35.0,6,100768.77,1,Yes,No,19199.61,N0,No,2,diamond,659
2157,15762138,Hu,608.0,france,M,42.0,5,0.0,2,Yes,No,178504.29,N0,No,4,diamond,403
2158,15750649,Uwakwe,101.0,france,FEMALE,44.0,3,0.0,2,Yes,Yes,189016.14,N0,No,4,Platinum,862
2159,15685706,Bird,731.0,france,FEMALE,40.0,7,118991.79,1,Yes,Yes,156048.64,N0,No,2,Platinum,253
2160,15641835,Anderson,683.0,france,M,72.0,3,140997.26,1,No,Yes,52876.41,N0,No,3,SILVR,580
2161,15586821,Bellew,727.0,france,M,28.0,5,0.0,2,No,Yes,19653.08,N0,No,3, Gold ,351
2162,15569678,Cocci,561.0,GERMANY,M,32.0,6,,1,Yes,No,139451.98,N0,No,5, Gold ,296
2163,15793842,Krichauff,700.0,france,FEMALE,34.0,2,76322.69,1,Yes,No,128136.29,N0,No,1,diamond,479
2164,15667554,Cameron,605.0,france,M,35.0,6,0.0,2,Yes,Yes,45206.57,N0,No,3,SILVR,241
2165,15794479,Becker,767.0, spain ,M,77.0,8,149083.7,1,Yes,Yes,190146.83,N0,No,5, Gold ,383
2166,15585041,Ainsworth,511.0,france,M,33.0,7,0.0,2,No,Yes,158313.87,N0,No,4,Platinum,413
2167,15780650,Biryukov,667.0,france,M,40.0,9,0.0,1,Yes,Yes,96670.2,N0,No,3, Gold ,879
2168,15780846,Redding,787.0,france,M,33.0,1,126588.81,2,No,Yes,62163.53,N0,No,1, Gold ,251
2169,15805260,Wood,705.0,GERMANY,FEMALE,56.0,2,143249.67,1,Yes,No,88428.41,Yess,Yes,3,Platinum,613
2170,15621629,Scott,773.0,GERMANY,M,43.0,8,81844.91,2,Yes,Yes,35908.46,N0,No,5,Platinum,368
2171,15662151,Gould,554.0,france,M,40.0,4,101.0,1,No,Yes,168780.04,N0,No,5,SILVR,544
2172,15747174,Hao,526.0,GERMANY,M,58.0,9,190298.89,2,Yes,Yes,191263.76,N0,No,1,diamond,889
2173,15651585,Power,661.0,GERMANY,M,35.0,2,117212.18,1,Yes,Yes,83052.03,N0,No,3,diamond,543.0
2174,15649738,White,698.0,france,FEMALE,46.0,0,0.0,2,Yes,Yes,125962.02,N0,No,2,diamond,613
2175,15633108,Thorpe,646.0,france,M,26.0,4,139848.17,1,Yes,No,164696.27,N0,No,2,diamond,915
2176,15769254,Tuan,757.0,GERMANY,FEMALE,34.0,9,101861.36,2,No,No,187011.96,N0,No,5,Platinum,903
2177,15704746,Inman,699.0, spain ,M,35.0,2,167455.66,2,Yes,Yes,55324.49,N0,No,3, Gold ,936
2178,15637644,Hanson,667.0,france,FEMALE,24.0,4,0.0,2,No,Yes,34335.55,N0,No,5,diamond,560
2179,15609562,MacDonald,774.0, spain ,FEMALE,43.0,1,116360.07,1,Yes,No,17004.14,N0,No,5,SILVR,239
2180,15787459,Parkes,745.0, spain ,M,40.0,3,88466.82,1,No,No,116331.42,N0,No,4,SILVR,645
2181,15762902,Stanley,649.0,france,FEMALE,42.0,7,799.0,2,No,Yes,22974.01,N0,No,5, Gold ,295
2182,15738605,Fischer,634.0,GERMANY,FEMALE,46.0,5,123642.36,1,Yes,Yes,49725.16,Yess,Yes,1,Platinum,751
2183,15724889,Chinweuba,665.0, spain ,M,38.0,9,0.0,1,No,Yes,87412.74,N0,No,3, Gold ,309
2184,15730735,Henning,713.0,france,M,38.0,9,72286.84,2,Yes,Yes,26136.89,N0,No,1,SILVR,570
2185,15689147,Ogochukwu,652.0,france,FEMALE,40.0,1,0.0,2,Yes,No,126554.96,N0,No,1,Platinum,247
2186,15730397,Narelle,739.0, spain ,M,40.0,1,19.0,1,Yes,Yes,193321.3,N0,No,5,Platinum,523
2187,15762169,Bergman,556.0,GERMANY,M,37.0,9,145018.64,2,Yes,No,90928.02,Yess,Yes,1,SILVR,19.0
2188,15589320,Sagese,699.0, spain ,M,34.0,8,0.0,1,Yes,Yes,76510.46,N0,No,2,Platinum,403
2189,15799211,Anenechi,708.0, spain ,FEMALE,32.0,8,187487.63,1,Yes,Yes,543.0,N0,No,3, Gold ,681
2190,15798310,Palerma,480.0,france,M,35.0,2,165692.91,1,Yes,Yes,197984.58,N0,No,5, Gold ,592
2191,15609998,Okwudilichukwu,700.0,GERMANY,FEMALE,59.0,5,137648.41,1,Yes,No,142977.05,Yess,Yes,2,Platinum,839
2192,15583548,Harrison,525.0, spain ,FEMALE,47.0,6,118560.0,1,Yes,No,82522.61,Yess,Yes,4,Platinum,375
2193,15761763,Jamieson,845.0,france,M,33.0,8,19.0,1,Yes,No,150664.97,N0,No,5, Gold ,588
2194,15764409,Goodman,613.0,france,M,37.0,9,108286.5,1,Yes,Yes,114153.44,N0,No,5, Gold ,656
2195,15710161,Ko,850.0,france,FEMALE,34.0,2,0.0,2,Yes,Yes,171706.66,N0,No,4,SILVR,589
2196,15735246,Norman,798.0, spain ,FEMALE,58.0,9,0.0,2,No,No,119071.56,Yess,Yes,3,diamond,400
2197,15791700,Ugochukwutubelum,773.0,GERMANY,M,47.0,2,118079.47,4,Yes,Yes,143007.49,Yess,Yes,4,Platinum,668
2198,15670753,Uvarova,614.0, spain ,M,543.0,2,127283.78,1,Yes,Yes,31302.35,N0,No,1,SILVR,668
2199,15573876,Chia,473.0, spain ,M,48.0,8,0.0,2,Yes,No,71139.8,N0,No,4,SILVR,304
2200,15770174,Piazza,762.0,france,M,29.0,6,141389.06,1,Yes,No,54122.89,N0,No,2,diamond,635
2201,15641114,Power,799.0,france,M,37.0,8,355.0,1,Yes,Yes,120031.29,N0,No,1,Platinum,902
2202,15682435,P'eng,600.0,france,M,35.0,4,143744.77,2,Yes,No,104076.51,N0,No,4, Gold ,797
2203,15751788,Johnson,19.0, spain ,M,28.0,9,97408.03,1,Yes,Yes,175853.64,N0,No,3, Gold ,962
2204,15672598,Walker,613.0, spain ,M,30.0,9,111927.45,1,Yes,Yes,175795.87,N0,No,1,SILVR,515
2205,15762803,Innes,509.0,france,M,31.0,3,0.0,2,Yes,No,15360.91,N0,No,5,Platinum,299
2206,15812982,Francis,509.0, spain ,M,38.0,2,355.0,1,No,No,168460.12,N0,No,2, Gold ,450
2207,15597901,Chidozie,799.0,france,M,34.0,1,262.0,1,Yes,Yes,181177.9,N0,No,4,Platinum,226
2208,15731507,Mackenzie,456.0,france,FEMALE,33.0,1,188285.68,1,No,No,58363.94,N0,No,5,Platinum,516
2209,15809826,Craigie,728.0,france,FEMALE,46.0,2,109705.52,1,Yes,No,20276.87,Yess,Yes,5,Platinum,469
2210,15764237,Manfrin,663.0, spain ,M,101.0,9,0.0,2,No,No,91514.62,N0,No,5,Platinum,868
2211,15769917,Onyekachi,673.0,GERMANY,FEMALE,34.0,1,127122.79,3,No,Yes,76703.1,N0,No,5,diamond,520
2212,15641850,Pethard,717.0,france,M,40.0,0,98241.04,1,Yes,No,110887.14,N0,No,3, Gold ,817
2213,15770974,Nwabugwu,741.0,GERMANY,FEMALE,37.0,8,170840.08,2,No,No,109843.16,N0,No,1,SILVR,947
2214,15803749,esoReD,498.0,GERMANY,FEMALE,41.0,4,87541.06,2,Yes,Yes,12577.21,Yess,Yes,3, Gold ,326
2215,15684999,Ch'eng,850.0,france,FEMALE,26.0,4,62610.96,2,No,Yes,179365.1,N0,No,3,diamond,604
2216,15770225,Padovesi,493.0,france,M,36.0,9,0.0,2,Yes,Yes,65816.53,N0,No,4,SILVR,293
2217,15627484,Obielumani,686.0,france,FEMALE,47.0,5,113328.93,1,Yes,No,124170.9,N0,No,4,Platinum,666
2218,15610337,Stephens,666.0, spain ,M,35.0,2,104832.49,1,Yes,No,175015.12,N0,No,4,diamond,411
2219,15752488,Emery,733.0, spain ,FEMALE,31.0,9,102289.85,1,Yes,Yes,115441.66,N0,No,2,Platinum,239
2220,15610056,Dufresne,631.0,GERMANY,FEMALE,34.0,6,125227.82,2,No,Yes,128247.03,N0,No,2,Platinum,305
2221,15806049,Lee,714.0,GERMANY,FEMALE,49.0,5,140510.89,1,Yes,No,141914.94,N0,No,1,diamond,455
2222,15736069,Hsing,767.0,GERMANY,FEMALE,35.0,6,132253.22,1,Yes,No,115566.57,Yess,Yes,4,SILVR,704
2223,15763662,Longo,799.0,GERMANY,M,43.0,2,39043.29,2,Yes,Yes,175423.69,N0,No,2,diamond,258
2224,15615575,Vial,722.0,france,M,34.0,8,0.0,2,Yes,Yes,133447.49,N0,No,1,diamond,523
2225,15691723,Chukwudi,631.0, spain ,M,55.0,9,262.0,1,Yes,No,114474.98,N0,No,1,diamond,932
2226,15774098,Grant,701.0,GERMANY,M,38.0,3,125385.49,2,No,Yes,52044.66,N0,No,2,diamond,805
2227,15750808,Ma,790.0, spain ,M,46.0,2,131365.37,2,Yes,Yes,180290.68,N0,No,5, Gold ,242
2228,15744368,Sun,633.0, spain ,M,58.0,6,98308.51,1,Yes,Yes,132034.13,N0,No,3,diamond,808
2229,15610594,Moss,644.0,france,FEMALE,37.0,8,0.0,2,Yes,No,20968.88,N0,No,3, Gold ,910
2230,15756125,Booth,757.0, spain ,M,44.0,5,140856.16,2,Yes,No,158735.1,N0,No,5,diamond,293
2231,15623277,Ross,696.0,france,FEMALE,30.0,8,0.0,2,Yes,Yes,196134.44,N0,No,3,SILVR,890
2232,15795954,Ndukaku,746.0,france,M,35.0,2,172274.01,1,Yes,No,22374.97,N0,No,3,Platinum,950
2233,15671969,Pruneda,649.0, spain ,M,36.0,8,0.0,2,Yes,No,161668.15,N0,No,3, Gold ,354
2234,15791268,Neumann,565.0, spain ,M,799.0,0,101.0,1,No,No,67339.34,N0,No,4,Platinum,652
2235,15713655,Calabrese,720.0,france,FEMALE,38.0,10,0.0,2,Yes,Yes,56229.72,Yess,Yes,2, Gold ,966
2236,15633930,Yobachukwu,648.0, spain ,FEMALE,56.0,6,157559.59,2,Yes,No,140991.23,Yess,Yes,4,SILVR,320
2237,15712849,Tung,632.0,GERMANY,M,41.0,3,126550.7,1,No,No,177644.52,Yess,Yes,3,Platinum,799.0
2238,15639077,Marchesi,622.0,france,FEMALE,30.0,2,158584.82,3,Yes,No,142342.55,Yess,Yes,2,diamond,981
2239,15808784,Hess,835.0,france,M,28.0,2,163569.61,2,Yes,Yes,154559.28,N0,No,5,Platinum,560
2240,15648577,Pickering,493.0,france,FEMALE,31.0,3,0.0,1,Yes,Yes,176570.28,Yess,Yes,4,SILVR,808
2241,15670345,Mazzi,785.0,GERMANY,FEMALE,33.0,6,543.0,1,No,No,191961.83,N0,No,3,SILVR,457
2242,15633112,Madukaego,681.0,GERMANY,M,42.0,3,118199.97,2,Yes,No,9452.88,Yess,Yes,2,Platinum,219
2243,15714397,Trentino,621.0,GERMANY,FEMALE,30.0,2,101014.08,2,Yes,Yes,165257.31,N0,No,3,SILVR,730
2244,15780038,Paterson,756.0, spain ,M,38.0,6,119208.85,1,Yes,No,169763.89,Yess,Yes,1,diamond,257
2245,15756305,Marchesi,515.0,france,FEMALE,66.0,6,0.0,2,Yes,Yes,160663.11,N0,No,2,Platinum,282
2246,15578799,Anayolisa,625.0,france,FEMALE,58.0,10,53772.73,1,Yes,Yes,192072.1,Yess,Yes,5,SILVR,428
2247,15800326,Poole,717.0, spain ,FEMALE,39.0,6,0.0,2,Yes,No,93275.61,N0,No,3,diamond,988
2248,15785485,Zhou,595.0,GERMANY,FEMALE,41.0,2,138878.81,1,No,Yes,112269.67,N0,No,5,SILVR,530
2249,15783958,Bates,539.0, spain ,FEMALE,37.0,1,130922.81,2,No,No,2186.83,N0,No,1,Platinum,319
2250,15727546,Olejuru,762.0,france,M,35.0,9,,2,Yes,Yes,43075.7,N0,No,1,diamond,749
2251,15739576,Bustard,706.0, spain ,M,20.0,8,0.0,2,Yes,Yes,12368.11,N0,No,4,Platinum,354
2252,15631333,Wade,677.0, spain ,FEMALE,25.0,8,130866.19,1,Yes,No,19.0,N0,No,5,diamond,236
2253,15604782,Tan,733.0,GERMANY,FEMALE,33.0,7,187257.94,1,No,Yes,190430.81,N0,No,2,diamond,356
2254,15589643,Ngozichukwuka,684.0, spain ,FEMALE,41.0,7,0.0,1,Yes,Yes,138394.37,N0,No,2,SILVR,795
2255,15585533,Calabrese,679.0,france,M,36.0,6,147733.64,1,No,Yes,172501.38,N0,No,5,Platinum,982
2256,15681506,Lane,478.0, spain ,M,43.0,1,0.0,2,Yes,Yes,197916.43,N0,No,5,diamond,303
2257,15630551,Forbes,696.0,france,M,33.0,2,163139.27,1,Yes,Yes,7035.36,N0,No,1,diamond,514
2258,15698349,Davy,686.0, spain ,FEMALE,35.0,4,0.0,2,Yes,Yes,159676.55,N0,No,2, Gold ,624
2259,15776631,Ma,466.0,france,FEMALE,36.0,5,119540.15,1,No,Yes,80603.99,N0,No,1,Platinum,513
2260,15762216,Barrera,686.0,france,FEMALE,41.0,4,129553.76,2,Yes,No,187599.8,N0,No,4,diamond,223
2261,15623927,Alexander,576.0,france,M,55.0,9,0.0,2,Yes,Yes,94450.97,N0,No,5,diamond,610
2262,15681402,Ngozichukwuka,763.0,GERMANY,FEMALE,38.0,1,799.0,1,Yes,Yes,143981.27,N0,No,2,Platinum,366
2263,15586264,Murray,572.0,france,M,43.0,2,101.0,1,Yes,No,26450.57,Yess,Yes,4,diamond,474
2264,15594685,Hall,757.0,france,FEMALE,49.0,2,0.0,2,No,No,164482.92,N0,No,1,Platinum,265
2265,15812945,Padovesi,582.0,france,FEMALE,29.0,0,0.0,1,Yes,Yes,84012.81,N0,No,2,diamond,572
2266,15734628,Lysaght,623.0,france,FEMALE,35.0,5,0.0,2,Yes,No,101192.08,N0,No,2,diamond,311
2267,15629323,Kelechi,617.0,GERMANY,FEMALE,37.0,4,116471.43,2,Yes,No,175324.74,Yess,Yes,3,SILVR,984
2268,15666823,Nebechi,425.0,france,M,799.0,4,0.0,2,Yes,No,197226.32,N0,No,2,SILVR,261
2269,15777553,Hanson,659.0,france,FEMALE,56.0,9,123785.24,1,Yes,No,99504.03,Yess,Yes,4, Gold ,101.0
2270,15613097,Kao,605.0,france,FEMALE,33.0,4,0.0,2,No,Yes,83700.66,N0,No,3,diamond,550
2271,15622217,Tu,538.0,france,FEMALE,38.0,8,88758.95,2,No,No,28226.15,Yess,Yes,1,diamond,911
2272,15703588,Palerma,665.0,GERMANY,M,25.0,5,153611.83,2,Yes,No,35321.65,N0,No,1,SILVR,862
2273,15570835,Fallaci,38.0,GERMANY,FEMALE,57.0,4,112044.72,1,Yes,Yes,41229.73,Yess,Yes,2,diamond,562
2274,15679299,Shen,726.0, spain ,FEMALE,27.0,7,123826.07,1,No,Yes,78970.58,N0,No,2, Gold ,535
2275,15808044,Ts'ui,580.0,france,FEMALE,65.0,9,101.0,3,Yes,No,107890.69,Yess,Yes,3, Gold ,950
2276,15579208,Chikezie,550.0,france,FEMALE,48.0,6,0.0,2,Yes,Yes,191870.28,N0,No,2,Platinum,730
2277,15684951,He,38.0,france,FEMALE,59.0,2,68892.77,2,Yes,No,7905.06,Yess,Yes,5,diamond,442
2278,15667620,reyerD,732.0,france,FEMALE,43.0,6,0.0,2,Yes,No,65731.53,N0,No,3,Platinum,767
2279,15582960,Short,473.0,france,FEMALE,799.0,5,125827.43,1,No,Yes,145698.73,N0,No,5,Platinum,299
2280,15590730,Hunt,745.0, spain ,M,34.0,9,0.0,2,Yes,No,50046.25,N0,No,3,SILVR,848
2281,15763747,Ricci,732.0,france,M,36.0,7,0.0,2,Yes,Yes,60830.24,N0,No,1, Gold ,875
2282,15778320,Teng,848.0,GERMANY,FEMALE,799.0,5,148495.64,1,No,No,158853.98,N0,No,3,SILVR,616
2283,15642787,Ijendu,572.0,france,M,37.0,1,133043.66,1,No,No,111243.09,N0,No,4, Gold ,444
2284,15624633,Kibby,702.0,france,M,45.0,9,101.0,1,Yes,Yes,171014.69,N0,No,3,SILVR,811
2285,15766765,Obiuto,664.0,GERMANY,M,39.0,7,60263.23,1,Yes,No,170835.32,N0,No,5,SILVR,466
2286,15783615,Ramos,630.0,GERMANY,M,50.0,3,129370.91,4,Yes,Yes,47775.34,Yess,Yes,1, Gold ,712
2287,15640161,Calabrese,618.0,GERMANY,M,44.0,5,355.0,2,No,No,139297.71,N0,No,5, Gold ,668
2288,15619889,Vasin,556.0,france,M,26.0,4,0.0,1,Yes,No,195167.38,N0,No,4,SILVR,727
2289,15579166,Munro,355.0,france,FEMALE,30.0,7,70729.17,1,Yes,Yes,160948.87,N0,No,1,diamond,962
2290,15789097,Keeley,644.0,france,M,48.0,8,0.0,2,No,Yes,44965.54,Yess,Yes,4,diamond,930
2291,15674880,Archer,658.0, spain ,M,50.0,2,0.0,2,Yes,No,52137.73,N0,No,1, Gold ,893
2292,15778157,Murray,598.0, spain ,M,27.0,8,90721.52,2,Yes,No,109296.18,N0,No,1, Gold ,698
2293,15779064,Chidiegwu,677.0,france,M,27.0,2,0.0,2,Yes,Yes,20092.89,N0,No,3,Platinum,737
2294,15801265,Tang,689.0, spain ,FEMALE,45.0,0,57784.22,1,Yes,No,197804.0,Yess,Yes,3,SILVR,709
2295,15589204,Farrar,591.0,france,M,33.0,9,131765.72,1,Yes,No,118782.06,N0,No,5, Gold ,597
2296,15664543,Shaw,699.0,france,M,40.0,7,0.0,1,No,Yes,152876.13,Yess,Yes,3,diamond,497
2297,15582714,Napolitani,749.0,GERMANY,M,47.0,9,110022.74,1,No,Yes,135655.29,Yess,Yes,3, Gold ,634
2298,15797595,Greenhalgh,709.0,france,FEMALE,40.0,9,131569.63,1,Yes,Yes,103970.58,N0,No,1,diamond,295
2299,15614034,Martin,607.0,GERMANY,M,61.0,2,164523.5,2,Yes,Yes,35786.76,N0,No,1,diamond,702
2300,15763171,Hu,650.0,GERMANY,FEMALE,25.0,2,114330.95,1,Yes,Yes,25325.07,N0,No,1,diamond,876
2301,15647266,Y?an,651.0, spain ,FEMALE,45.0,10,135923.16,1,Yes,No,18732.84,N0,No,3, Gold ,500
2302,15757577,Odili,676.0,france,FEMALE,61.0,8,0.0,2,Yes,Yes,118522.73,N0,No,5,diamond,762
2303,15736656,H?,723.0,france,FEMALE,49.0,4,0.0,2,No,Yes,89972.25,N0,No,1,Platinum,886
2304,15635078,Chiemela,714.0, spain ,M,45.0,0,124693.48,1,No,Yes,187194.15,N0,No,2,Platinum,952
2305,15680141,Yuan,759.0, spain ,FEMALE,35.0,7,147936.42,1,Yes,Yes,38.0,N0,No,4,SILVR,312
2306,15576945,Clements,582.0,france,M,29.0,0,0.0,1,Yes,No,142516.35,N0,No,2, Gold ,352
2307,15602034,Kolesnikov,697.0,france,FEMALE,34.0,2,,1,Yes,No,73334.43,N0,No,5,Platinum,809
2308,15732020,Rutherford,610.0,GERMANY,M,57.0,6,355.0,2,No,Yes,186612.47,N0,No,4,diamond,913
2309,15611029,Hsiung,488.0,GERMANY,FEMALE,33.0,4,38.0,1,Yes,No,123613.81,N0,No,1, Gold ,935
2310,15621210,Angelo,599.0,GERMANY,M,46.0,9,123444.72,1,Yes,Yes,31368.08,Yess,Yes,3,diamond,726
2311,15569222,Mendes,781.0,france,M,32.0,6,147107.91,1,Yes,Yes,40066.95,N0,No,1,Platinum,740
2312,15664639,McGregor,38.0,france,M,19.0,9,128514.84,1,No,No,799.0,N0,No,5, Gold ,796
2313,15724223,Bronner,545.0,france,FEMALE,55.0,5,0.0,1,No,No,10034.77,Yess,Yes,5,diamond,524
2314,15644621,Mironova,597.0,GERMANY,FEMALE,40.0,9,106756.01,2,Yes,No,151167.94,N0,No,3,Platinum,701
2315,15756056,Ku,561.0, spain ,FEMALE,28.0,3,0.0,2,Yes,No,191387.76,N0,No,1,diamond,276
2316,15700353,Evans,662.0,france,FEMALE,37.0,6,0.0,2,Yes,No,51229.17,N0,No,5,Platinum,526
2317,15624388,Henderson,649.0,GERMANY,FEMALE,50.0,5,155393.32,1,Yes,Yes,87351.42,Yess,Yes,5,diamond,312
2318,15627212,Smith,630.0,france,FEMALE,36.0,2,110414.48,1,Yes,Yes,48984.95,N0,No,3,SILVR,882
2319,15648005,Russell,672.0, spain ,M,33.0,2,0.0,2,Yes,Yes,182738.0,N0,No,4,SILVR,609
2320,15681446,Sun,636.0,GERMANY,FEMALE,543.0,9,157098.52,1,Yes,Yes,153535.27,N0,No,3,SILVR,638
2321,15775888,McDonald,593.0,GERMANY,FEMALE,38.0,5,85626.6,1,Yes,Yes,125079.65,N0,No,2, Gold ,891
2322,15749019,Wong,545.0,GERMANY,M,45.0,6,93796.42,2,Yes,Yes,162321.26,N0,No,3, Gold ,577
2323,15709928,Niu,567.0, spain ,FEMALE,41.0,1,0.0,2,Yes,No,3414.72,N0,No,5,SILVR,684
2324,15784676,Fanucci,583.0,france,M,51.0,6,125268.03,2,Yes,No,165082.25,N0,No,4,Platinum,837
2325,15748116,Zetticci,681.0,france,FEMALE,29.0,2,148143.84,1,Yes,Yes,52021.39,N0,No,5,SILVR,394
2326,15612193,Hsia,762.0, spain ,M,29.0,10,115545.33,2,Yes,No,148256.43,N0,No,3,Platinum,931
2327,15762984,McIntosh,648.0, spain ,M,35.0,7,0.0,2,No,No,122899.01,N0,No,2,diamond,878
2328,15613713,Kozlova,644.0,france,M,30.0,5,44928.88,1,Yes,Yes,10771.46,N0,No,4,Platinum,528
2329,15664204,Meany,262.0, spain ,M,29.0,2,0.0,2,Yes,Yes,18255.51,N0,No,1,SILVR,868
2330,15639415,Thompson,850.0,france,M,19.0,3,19.0,1,Yes,No,183566.78,N0,No,3, Gold ,801
2331,15806332,Le Gallienne,484.0, spain ,FEMALE,39.0,5,0.0,2,Yes,Yes,175224.12,N0,No,2,SILVR,740
2332,15614929,Cheng,508.0,GERMANY,M,28.0,0,96213.82,2,Yes,No,147913.56,N0,No,2,Platinum,371
2333,15695492,P'eng,439.0,france,FEMALE,29.0,6,156569.43,1,Yes,No,180598.66,N0,No,2, Gold ,939
2334,15635972,Lloyd,484.0, spain ,M,36.0,8,0.0,2,Yes,No,186136.48,N0,No,1,Platinum,355.0
2335,15616380,Wheeler,803.0, spain ,FEMALE,37.0,1,0.0,2,No,No,7455.2,N0,No,4,SILVR,663
2336,15581440,Christie,724.0,GERMANY,FEMALE,48.0,6,110463.25,2,Yes,Yes,80552.11,Yess,Yes,1,Platinum,356
2337,15654390,He,640.0,france,M,33.0,7,154575.76,1,Yes,No,25722.28,Yess,Yes,5, Gold ,762
2338,15660688,King,701.0, spain ,FEMALE,35.0,9,0.0,2,No,No,170996.86,N0,No,3,diamond,303
2339,15806307,Favors,537.0,france,M,37.0,3,0.0,2,Yes,Yes,20603.32,N0,No,2,SILVR,847
2340,15647975,Vida,651.0,GERMANY,M,26.0,5,147037.32,1,No,No,141763.26,N0,No,5,SILVR,637
2341,15595728,Thomas,355.0,GERMANY,M,41.0,0,119276.31,1,No,No,101.0,Yess,Yes,3,SILVR,844
